,contrast_d1_a0,dissimilarity_d1_a0,homogeneity_d1_a0,energy_d1_a0,correlation_d1_a0,contrast_d1_a45,dissimilarity_d1_a45,homogeneity_d1_a45,energy_d1_a45,correlation_d1_a45,contrast_d1_a90,dissimilarity_d1_a90,homogeneity_d1_a90,energy_d1_a90,correlation_d1_a90,contrast_d1_a135,dissimilarity_d1_a135,homogeneity_d1_a135,energy_d1_a135,correlation_d1_a135,contrast_d3_a0,dissimilarity_d3_a0,homogeneity_d3_a0,energy_d3_a0,correlation_d3_a0,contrast_d3_a45,dissimilarity_d3_a45,homogeneity_d3_a45,energy_d3_a45,correlation_d3_a45,contrast_d3_a90,dissimilarity_d3_a90,homogeneity_d3_a90,energy_d3_a90,correlation_d3_a90,contrast_d3_a135,dissimilarity_d3_a135,homogeneity_d3_a135,energy_d3_a135,correlation_d3_a135,contrast_d5_a0,dissimilarity_d5_a0,homogeneity_d5_a0,energy_d5_a0,correlation_d5_a0,contrast_d5_a45,dissimilarity_d5_a45,homogeneity_d5_a45,energy_d5_a45,correlation_d5_a45,contrast_d5_a90,dissimilarity_d5_a90,homogeneity_d5_a90,energy_d5_a90,correlation_d5_a90,contrast_d5_a135,dissimilarity_d5_a135,homogeneity_d5_a135,energy_d5_a135,correlation_d5_a135,tumor_type
359,42.9761305956394,87.70347463435445,49.46816520914061,88.85858280260135,292.3709364256834,271.80098039222196,289.27574748290334,279.69730488280453,563.6188439963771,611.2226850705262,509.52314857603636,656.1636454524635,3.3798732570934114,5.050658506975353,3.693267643101083,4.929170767574873,8.687572906436477,8.727093425607773,8.702342215129962,8.543925413304802,12.002218934907372,12.922464969933062,11.437157143734153,12.867672360347706,0.4532792009021491,0.36257639625969523,0.42508584898244106,0.36490971634537095,0.29725086867147454,0.27834109772465565,0.2848404625463698,0.27847616425401556,0.2617771719233878,0.23747094492098578,0.25722687973142977,0.2366562870019027,0.08703722258054251,0.07369499394154916,0.08322581489073175,0.0736405747718159,0.06699281326236808,0.06226241928032052,0.06507451839814286,0.06213096578076016,0.06173018937708025,0.05657346870309551,0.06132663170121425,0.056484690306643666,0.9874583773154137,0.9743966781534489,0.9855679400282897,0.9740594696571109,0.9145750752404153,0.9205918444400571,0.9155913576810557,0.9182849258121695,0.8351372236691025,0.8211985951805104,0.8513324140394787,0.8080521566152866,0
1498,139.49255578097822,233.88229071303394,100.79854838872446,234.87390906315218,1024.391380719107,810.2488790158353,718.3232381944633,812.3816772796014,2165.826881941716,2248.9943690899977,1493.0578447963708,2254.002229551256,5.918985801218889,7.860950055944958,4.849233139717474,7.816580205471915,16.14436274509979,14.530814274895405,12.979952481470313,14.456634794540781,23.740086384204773,24.46788410487197,18.99861517156162,24.456497843050105,0.4385116833994205,0.36305817242229904,0.4540452319231494,0.36400466656261515,0.2764726223255917,0.2683436058345761,0.2914160938632936,0.2687490445812582,0.2231994230269015,0.20377762084802306,0.24014062261878819,0.20217218177028293,0.08662050581010189,0.07337779646501366,0.08784527891569176,0.07406125336517315,0.05970584002826082,0.057860168530896046,0.06251360305972968,0.058276509791835025,0.053230403817425914,0.04922026331141626,0.05534394370430447,0.049187062115310105,0.9805725541399359,0.9673126923644326,0.9859515210168927,0.967174089143819,0.8565858427424942,0.8860604829263319,0.8992536905109308,0.8857602980750408,0.6956800559169085,0.6803844366718838,0.789451417666254,0.6796699964686783,1
1469,38.50846991193227,79.04585230601279,43.08458445449628,74.95233244357392,253.56644462190246,238.88692041529723,243.56285302071106,226.15384851986903,478.8523098494417,549.6594488190598,432.19989675775423,527.804312108779,2.2854161570446343,3.327338666748247,2.389103779353866,3.204368855817687,5.893165213656411,5.775755478663729,5.7153963040290865,5.5613533256455465,8.31456484220603,9.048336846676332,7.857125246545668,8.73876247752746,0.6832978291570652,0.6338060259974092,0.6759948957203264,0.6341198169722064,0.5874034379052714,0.5757480316622462,0.5876609674450534,0.575853853891939,0.5513959107797936,0.525680441196177,0.5536992437315658,0.5260993797971025,0.3177216671126146,0.31034125665091483,0.31916771041921216,0.3101814331486891,0.3042433208711973,0.2990723205764385,0.30476239388862875,0.2989621283306963,0.2943937586337084,0.2824190073390149,0.2944073022312992,0.28232945421405425,0.9897842030752991,0.9790486415746578,0.9885702193211285,0.9801336422338611,0.9328507498826442,0.936793395720267,0.935499892498902,0.9401624133088351,0.8734135847627846,0.8550725747123387,0.8857463262239278,0.8608350676514256,1
70,44.87004647749042,90.33019557982395,45.45658405699144,81.74250634762461,306.9360341970507,282.13929257983506,282.0732057343733,258.1628450596498,587.7971485143885,627.597324694784,510.6167136647956,600.2863514478336,3.0665362035221,4.299229093025733,3.0849552042559036,4.33905737186949,7.948282477899939,7.505966935795648,7.46987813114153,7.584159938487084,11.083591438606017,11.535611321225158,10.158018213754177,11.616967108936903,0.5205810860462665,0.44234491789959723,0.510571598473101,0.4434580098825165,0.3673425597020599,0.3561365221403368,0.3709431094348584,0.35855091272288875,0.3278201638669221,0.30145141653138596,0.3312469437848639,0.30575902897189045,0.12923553312951674,0.11727718847730709,0.1325389956972495,0.11730213708781236,0.10663116997872525,0.10273042751484288,0.11054899317427873,0.1030150164279343,0.09905400034084576,0.091502790661321,0.10161193002837193,0.09173384867094261,0.9809472952208865,0.9616413140314708,0.9807036867650174,0.9652880732611883,0.8695825935691864,0.8801571622772324,0.880290495499803,0.8903415130036452,0.7500934766733534,0.733329625425083,0.7833945070146039,0.7449345989599434,0
385,29.787029109585045,73.34949314684896,43.06797715875274,67.67034822935818,221.90396304035616,244.91091503273873,275.2804940754946,224.00813148794398,485.09477856860775,653.9847634697012,543.8674186388472,599.0295740593015,2.4641634050876275,3.9389669923137816,2.955934289383112,3.8386916410398104,6.664630402752934,7.045363321801219,7.217809890719755,6.844356016918498,9.83746687006542,11.44894289788874,10.065759060647222,11.054722859448448,0.5775517310686155,0.4899193007983114,0.5444953968656933,0.4926535641414457,0.42923545490177556,0.40781959326475536,0.4165046191045037,0.40976532111947067,0.3829627179605034,0.35145836929031055,0.37698313638483777,0.35268436549069987,0.1890042815412425,0.17395415955930332,0.18912060098224104,0.17386641112565698,0.16303713296864783,0.15658788293360743,0.1642296801741869,0.15641762281036192,0.15270194869347956,0.14225033631736428,0.15319327438132474,0.14190221969561823,0.9918953179411799,0.9800496490293149,0.9882834219089337,0.9815943213843201,0.939650652288639,0.933430534327356,0.9251826571509536,0.9391121395406647,0.8681413035292067,0.8225105496072559,0.8523568616373436,0.8374252187394936,0
1764,34.0333407228439,69.4673925115124,38.42866316046569,70.03893597220883,249.5198036899252,227.10391772400135,244.32784488589297,230.28254133030262,524.9324804300513,567.0836459174395,465.7185073038536,578.6010602022686,2.6400019875240925,3.8645340665820433,2.8291875611541712,3.856974352886177,7.114812285120434,6.895474817379529,7.017984866161651,6.88641676278514,10.429090390775468,11.05085560171409,9.722567646693102,11.007796515595802,0.537854589113497,0.4555478854581962,0.5248477197314843,0.4534413324204959,0.36513428553161886,0.3556877650597021,0.3670010157099369,0.35244541875329627,0.3154335952253237,0.29104572919806787,0.31952471552708056,0.2873620085731454,0.12344495939292723,0.10833347107699043,0.12527989998793634,0.10734498065054501,0.09427244957939333,0.09080510499980982,0.09692002918863515,0.08986243167082243,0.08612507233506565,0.07982400282989643,0.08747068200727785,0.07841970747581267,0.9910082451461225,0.9816488501099577,0.9898472768341396,0.9814978658951227,0.9340933933157736,0.9400275521776537,0.9354855277178427,0.9391881574182525,0.8613983068603436,0.850380195034123,0.8771116396925625,0.8473414311914054,1
3155,56.68081503790795,96.86256563048457,44.23253653986737,94.9725529543693,355.53710937509373,296.927581699408,263.59104095046104,291.5855286428914,634.6953856939131,652.5923259348343,447.1354012572914,643.6636338274475,3.908210769324228,5.209132930709901,3.4011091915356984,5.167091118676366,9.858949072939327,9.048258362170337,8.100250184186594,8.971803152635522,13.48608157667365,13.7392584785207,10.58602995561869,13.637369024741577,0.4259091031540294,0.35345660171834575,0.4260054641744442,0.3525102389911285,0.2848003165722762,0.2731556039332235,0.28967820606744704,0.2726784786260084,0.25084784196312226,0.23227049449952525,0.2646773941071459,0.23152890453576935,0.09614758934141479,0.08965793313933763,0.0974503925742124,0.08967845603510351,0.08218321084439466,0.08196073931670941,0.08801155861576439,0.08196027437600123,0.07536630418221038,0.07519026201085953,0.08630504934887266,0.07527154582956758,0.9874778654010103,0.9785900482466495,0.9902293760928647,0.9790078059216193,0.9213535057148199,0.9343029164007708,0.9417491971951044,0.9354848790336738,0.8594243919381747,0.855406491532973,0.9012162324750396,0.8573848030553896,2
1612,88.58140934884354,171.24218942191234,90.89910873440552,170.41027619368566,576.782859196594,538.3732185073535,561.0395556851813,525.1227400653911,1084.7532502802087,1234.5306380935808,998.837818025744,1180.075368569673,4.805308747951985,6.541619143464472,4.502807486630965,6.5640724589066535,12.271465312955069,11.531610942251614,11.214927815637878,11.494191151640335,17.39061067925189,18.408907298365772,15.567744045466924,18.125804463914317,0.42013136746290425,0.35950079574923677,0.4339521532366927,0.35861356355715573,0.2914408032292298,0.2831462016646383,0.29359731267320893,0.28484487850953716,0.24671813528132205,0.22350630102325186,0.24864272506133522,0.22413427546463088,0.13593283211608645,0.12567787670386577,0.13264086904149652,0.12583680527006247,0.12081583972472205,0.11346978102361858,0.11400774010713481,0.11369387915958623,0.11151631028967292,0.09579699157469349,0.10264545105894053,0.09604918010684865,0.9855179181880789,0.9719707031676804,0.9851412209866861,0.9721068725479752,0.9054403393397927,0.9116435669868757,0.9080696675101101,0.9138182015537607,0.8217129435393887,0.7962385142281225,0.8359195624844334,0.8052264536797008,1
979,36.01914903375267,64.94135285939822,31.249491652394102,63.72607718260343,241.6145091479111,203.18754325263376,182.92782646739164,201.23414840450192,454.78325320500295,474.7522320046196,327.8162097817226,475.8882835267198,2.51553326810137,3.450925050072405,2.2885235750975093,3.418281179989199,6.617317964146981,6.148842752788742,5.653161069500463,6.105928489044214,9.372619267748844,9.781651063305423,7.884542190579803,9.775714551432532,0.641201193507304,0.5857467268383424,0.6401778681785281,0.5870945106708525,0.5331957232405518,0.518279175379141,0.5345482026938139,0.5205578431008608,0.49550048197676255,0.4675810551483572,0.49849629290231995,0.4682416896268605,0.2382081925014207,0.22857412682960035,0.2403689143807748,0.22863041073702495,0.21996178407486822,0.21555685511656314,0.22329203358058394,0.215571443073356,0.20893504958683087,0.20014689906792194,0.21404052080761532,0.20010746654580858,0.9922779254706111,0.9860891544096936,0.993300669086452,0.9863494740911405,0.9482857155589175,0.9565487602153594,0.9608519901592429,0.9569664897010436,0.9028187821205961,0.8988196813000403,0.9299753193213117,0.8985775633123518,1
3242,44.43856256114867,106.96563279091986,55.92869755992345,85.84691771246887,304.9831394278985,342.9658861977112,352.29141852909817,276.51569780860154,618.7974027673031,828.8129030010316,629.042024932021,674.7136563024894,3.433158023482805,5.352150918539309,3.8309572223575157,4.975459652804311,8.915413187625118,9.412675893889622,9.309936763263917,8.730768935027248,12.610773391267687,14.471468317940495,12.334908931208995,13.431090737184894,0.4071153696275824,0.3057083651488407,0.37391389839741435,0.31083110957573185,0.23455632341985863,0.2160515672449648,0.22179062579414047,0.22040312789224678,0.1972343555750466,0.17741599316444856,0.19839096257464853,0.18101174814304835,0.056475501809480994,0.0462050351086372,0.05364149547445531,0.046441873860996866,0.04009648686717117,0.03867616224816111,0.040237684985765756,0.03887491080215653,0.03679621467658303,0.03527039664005918,0.03822246366057493,0.03566460814462996,0.9863358496285469,0.9670787482140224,0.9828031828346133,0.9735785418239418,0.9060524914863036,0.8942606314809098,0.8915331425550734,0.9147478030656314,0.809085404105827,0.7437392400998685,0.806169404478731,0.7913848931145188,2
1249,348.68280659904576,439.20640782508167,163.85598474006753,468.37510729608624,1096.0468079128257,904.2708467613446,748.8363796696367,945.65289639074,1695.9680398585115,1769.0653814597822,1268.2709647423553,1782.7002871201826,9.288888888888089,11.10627807166256,7.072285805116589,11.380397245232727,17.69100357128192,16.490150660653686,15.21508738175212,16.834696261684947,22.740025114425457,23.79470877768123,20.150270904096292,23.887653814597282,0.2879449659392545,0.22628766968822314,0.32772482392072716,0.228030096073715,0.1832704514114339,0.1671018187888491,0.1969273164919008,0.16464676705333312,0.1481757812024438,0.1280328943129891,0.15621249932430709,0.12794847434340148,0.04596628576736514,0.03680190844127091,0.05057638915477286,0.037128600809927366,0.032573639499405636,0.029739462326656325,0.03278983790755783,0.02984744709407532,0.028592854595198402,0.025686950545008854,0.028565593287497373,0.025676260062199155,0.9255811601898867,0.9061799976284027,0.9651252921049212,0.8999491829613752,0.7652946052626084,0.8060596520461485,0.8403181173231647,0.7971815739424516,0.6363614806898389,0.619303173885064,0.7291146433793287,0.6163669467903997,1
3057,75.08627385027884,122.44735582352986,57.641076015158006,130.0555298118311,479.70192779978504,381.96981930041386,350.09304395887233,398.2947481739256,869.3611624750276,882.1248760000911,637.1104613533126,891.4660161823764,3.904239542562877,5.026619842907674,3.3478626467704813,5.189042627746863,9.995502824168575,8.89693194925379,8.281902320729936,9.100730488277256,13.917067307687056,14.02342829686203,11.514453895459281,14.095968441942155,0.5628604423729032,0.5104253605453087,0.5612523781886832,0.5099675760920895,0.4619677242175562,0.44903827817458425,0.46109759367691144,0.4491230870985385,0.4289862000253015,0.4039785170492406,0.42972974430726246,0.40492196083026283,0.27230230147657225,0.26718325691849515,0.2729701655687132,0.26713881887807056,0.26307273691266425,0.25934019957717824,0.26336238937909445,0.25927077576926083,0.25582071805165896,0.24660359147242714,0.256810276166246,0.24653189295981778,0.984764307649765,0.9751660398309568,0.9883040979945922,0.97362300046915,0.9027557362292107,0.9226034929991567,0.9290298030128724,0.9192956597411144,0.8239276875869596,0.821581982238368,0.8709667597982078,0.8196926491515255,2
2822,27.074081152150264,49.156812359019185,28.29548373287508,53.331229583217585,156.834333558473,139.19796232219966,148.52676817291393,147.5407151095902,272.3521634615038,299.90916981839814,260.88782051278605,310.2199996900584,2.2101577788647178,3.002554371345012,2.214729085126966,3.145737033788848,5.351508779470455,5.039154171473171,5.157286038802384,5.252618223760819,7.254337709565103,7.662424824850974,7.01219643737576,7.9062635625284425,0.6395466493252301,0.5868661186705403,0.6335976546725608,0.5831354352728271,0.5335927833283705,0.5251266228189018,0.5331789575621017,0.5220304317325103,0.50084807300439,0.47798421781324885,0.5011976195685739,0.47466528180542455,0.27280809342538104,0.2651166544106139,0.274237099026141,0.26476089998043184,0.2582828170667017,0.2533186834441753,0.258823708051204,0.2530235704685357,0.24869986425503685,0.2369305350339782,0.2494610066471836,0.236874220964785,0.9881394563916764,0.9784785726759181,0.9876043875008471,0.9766509639966884,0.9313776800966043,0.9391307392111897,0.9350126265816608,0.93548257377371,0.8809760720727151,0.869162822764365,0.885986670051796,0.8646646612837237,2
1490,38.830777580720074,75.3484476545319,39.34154843443838,73.52140961469479,268.0237751719886,233.90351018843393,222.07814418596698,225.84468665901966,511.23347355757124,508.4779163309449,353.9888783591388,494.97153031816663,2.761879280821554,3.8702976780878227,2.675131482387097,3.855507599924844,7.32694314833201,6.862364475203336,6.494639458498649,6.829346405230194,10.432753944770708,10.71763206026641,8.780044224603456,10.724351323704848,0.5767873395944348,0.5195546492816017,0.5826071019180896,0.5182161636403716,0.44830809595717686,0.44495226240558394,0.4605742274740631,0.4429161412268068,0.40721562395279326,0.3878926325260166,0.4210951515320535,0.385522950485574,0.1974972443607911,0.19046429928651637,0.20087755742066915,0.19038947317485047,0.18126979587541375,0.17953514788607683,0.18615007616145154,0.17950537151415533,0.17195678230359304,0.16622976580551,0.1796692755382797,0.16610923827595106,0.9861199617019101,0.9730787962638353,0.9859393927190604,0.9737315776393866,0.9042529782844145,0.9165006990005463,0.9207259645862051,0.9193775524989971,0.8174770535523918,0.8188187735373742,0.8738133798033123,0.8236313789707068,1
